id_str,from_user,text,created_at,time,user_location
"1,32073910136942E+018",k__yooo3,"@umseremruinas @Abszinto @DaviNunes777 @animecomentario @mekitojiu Teve um maluco q tava negando o aquecimento global, foi engraçado..",Mon Oct 26 14:48:34 +0000 2020,26/10/2020 14:48:34,"Maceió, Brasil"
"1,32073682032225E+018",ChefeBossRBR,"RT @RosbergOpressao: ???? ??????? - ???????????? ?? ????????????????. Investimentos, a luta contra poluição, amenizar os efeitos do aquecimento global e por um mundo mais sustentável e saudável! A THREAD! ?? https://t.co/8mjrKWCstx",Mon Oct 26 14:39:30 +0000 2020,26/10/2020 14:39:30,Brasil Red Bull Ring 
"1,32073675977755E+018",NadjaFerreiraV1,"RT @IvanMarcos26: A pessoa que faz essa nojeira é a mesma que vem nas redes sociais encher o saco, por causa do aquecimento global, buraco na camada de ozônio, queimadas... mas não sabe limpar a própria sujeira. https://t.co/hK2GZaTQbI",Mon Oct 26 14:39:16 +0000 2020,26/10/2020 14:39:16,default
"1,3207365596127E+018",_caionceagain,"RT @RosbergOpressao: ???? ??????? - ???????????? ?? ????????????????. Investimentos, a luta contra poluição, amenizar os efeitos do aquecimento global e por um mundo mais sustentável e saudável!A THREAD! ?? https://t.co/8mjrKWCstx",Mon Oct 26 14:38:28 +0000 2020,26/10/2020 14:38:28,default
"1,32073614033755E+018",rodriguespbru,"RT @RosbergOpressao: ???? ??????? - ???????????? ?? ????????????????.

Investimentos, a luta contra poluição, amenizar os efeitos do aquecimento global e por um mundo mais sustentável e saudável!

A THREAD! ?? https://t.co/8mjrKWCstx",Mon Oct 26 14:36:48 +0000 2020,26/10/2020 14:36:48,"Niterói, Brasil"
"1,32073591119016E+018",naybunnygguk,"Se a terra é plana porque nós falamos ""aquecimento global"" e não ""a chapa tá esquentando"" ?",Mon Oct 26 14:35:53 +0000 2020,26/10/2020 14:35:53,bang
"1,32073581743908E+018",hamicciaxdo,"RT @RosbergOpressao: ???? ??????? - ???????????? ?? ????????????????.

Investimentos, a luta contra poluição, amenizar os efeitos do aquecimento global e por um mundo mais sustentável e saudável!

A THREAD! ?? https://t.co/8mjrKWCstx",Mon Oct 26 14:35:31 +0000 2020,26/10/2020 14:35:31,Mônaco
"1,32073253818122E+018",caique_anon,"RT @RosbergOpressao: ???? ??????? - ???????????? ?? ????????????????.

Investimentos, a luta contra poluição, amenizar os efeitos do aquecimento global e por um mundo mais sustentável e saudável!

A THREAD! ?? https://t.co/8mjrKWCstx",Mon Oct 26 14:22:29 +0000 2020,26/10/2020 14:22:29,"São Paulo,Brasil"
"1,32073196900153E+018",Helorezende53,@hfmagnus5 Esse é o aquecimento global,Mon Oct 26 14:20:14 +0000 2020,26/10/2020 14:20:14,default
"1,32073177673882E+018",matossliv,"RT @RosbergOpressao: ???? ??????? - ???????????? ?? ????????????????.

Investimentos, a luta contra poluição, amenizar os efeitos do aquecimento global e por um mundo mais sustentável e saudável!

A THREAD! ?? https://t.co/8mjrKWCstx",Mon Oct 26 14:19:28 +0000 2020,26/10/2020 14:19:28,default
"1,32073163913218E+018",gu64_,"RT @RosbergOpressao: ???? ??????? - ???????????? ?? ????????????????.

Investimentos, a luta contra poluição, amenizar os efeitos do aquecimento global e por um mundo mais sustentável e saudável!

A THREAD! ?? https://t.co/8mjrKWCstx",Mon Oct 26 14:18:55 +0000 2020,26/10/2020 14:18:55,"Salvador, BA, Brasil"
"1,32073120114615E+018",rickcavas,@c_rolll Pq a expectativa de vida diminui junto com as calotas polares por causa do aquecimento global,Mon Oct 26 14:17:11 +0000 2020,26/10/2020 14:17:11,default
"1,3207311633932E+018",ribeirodinora84,"RT @IvanMarcos26: A pessoa que faz essa nojeira é a mesma que vem nas redes sociais encher o saco, por causa do aquecimento global, buraco na camada de ozônio, queimadas... mas não sabe limpar a própria sujeira. https://t.co/hK2GZaTQbI",Mon Oct 26 14:17:02 +0000 2020,26/10/2020 14:17:02,"Pompéia, Brasil"
"1,32073102265338E+018",_locomoro,"RT @RosbergOpressao: ???? ??????? - ???????????? ?? ????????????????.

Investimentos, a luta contra poluição, amenizar os efeitos do aquecimento global e por um mundo mais sustentável e saudável!

A THREAD! ?? https://t.co/8mjrKWCstx",Mon Oct 26 14:16:28 +0000 2020,26/10/2020 14:16:28,"Mogi das Cruzes, Brasil"
"1,32073085592975E+018",becarys_,ora ora parece que o aquecimento global vai matar a gente antes de eu conseguir namorar alguém TA FELIZ CAPITALISMO????,Mon Oct 26 14:15:48 +0000 2020,26/10/2020 14:15:48,"Santarém, Brasil"
"1,3207303371824E+018",brendafernn,Como tem gente que ainda ignora a situação do aquecimento global ?,Mon Oct 26 14:13:45 +0000 2020,26/10/2020 14:13:45,Hogwarts
"1,32073030351055E+018",RosbergOpressao,"???? ??????? - ???????????? ?? ????????????????.

Investimentos, a luta contra poluição, amenizar os efeitos do aquecimento global e por um mundo mais sustentável e saudável!

A THREAD! ?? https://t.co/8mjrKWCstx",Mon Oct 26 14:13:36 +0000 2020,26/10/2020 14:13:36,Ceará - BR
"1,32072642097756E+018",ciclonexplosivo,"É fundamental perceber como o aquecimento global muda a geografia dos lugares. Aqui, um exemplo clássico. Fauna e flora migram de suas áreas de proteção permanente pra fugir do calor. Gerando, inclusive, vulnerabilidade e novas teias alimentares. 
#ClimateChange https://t.co/CEyb4Dn6ZX",Mon Oct 26 13:58:11 +0000 2020,26/10/2020 13:58:11,default
"1,32072616513345E+018",Botaoteu1,"Essa noite por volta das duas e pouco da madrugada eu acordo parecendo que o meu corpo tá pegando fogo de tanto calor, quase não consigo voltar a dormir ? será um problema meu ou efeitos do aquecimento global?",Mon Oct 26 13:57:10 +0000 2020,26/10/2020 13:57:10,"Ceará, Brasil"
"1,32072566027758E+018",lplcosta,"Caralho, vai toma no cu. Na moral memo. 2020 ano que nego nega vacina. Que confunde borderline com permissão para ser agressivo. Que não acredita que o aquecimento global é consequência do desmatamento. E agora não acredita que um adulto de 19 não pode namorar uma menina de 12.",Mon Oct 26 13:55:09 +0000 2020,26/10/2020 13:55:09,"São Paulo, Brasil"
"1,32072290039618E+018",FellipeC,@Lucas_O_Fofo Chupa aquecimento global,Mon Oct 26 13:44:11 +0000 2020,26/10/2020 13:44:11,Etérnia
"1,32072148309051E+018",_ritissima_,"A agenda Democrata privilegia aquecimento global, acordo de Paris, preservação da Amazônia, a proteção dos povos indígenas, a proteção dos direitos humanos, é contra a guerra cultural, favorece políticas de gênero, tudo o que o governo Bolsonaro detesta. https://t.co/GSX5a3IKjW",Mon Oct 26 13:38:34 +0000 2020,26/10/2020 13:38:34,default
"1,32071523790614E+018",Yo_GarotaNormal,@ItsMrDerpHd Bad Land Chugs É o aquecimento global senhor derp,Mon Oct 26 13:13:45 +0000 2020,26/10/2020 13:13:45,tomando café atrás de você
"1,32071392314706E+018",ItsMrDerpHd,@Yo_GarotaNormal o verdadeiro vilao não é o aquecimento global,Mon Oct 26 13:08:31 +0000 2020,26/10/2020 13:08:31,"Mato Grosso do Sul, Brasil"
"1,32071330153021E+018",CogitaTuti,"RT @carlosom71: ""Cabo Crackpot"" é o istmo que separa o mares conhecidos daqueles onde as águas têm memória, não se expandem em resposta ao aquecimento global e matam vírus e bactérias.",Mon Oct 26 13:06:03 +0000 2020,26/10/2020 13:06:03,default
